task,t2.nano,t2.micro,t2.medium,t2.xlarge,c5.large
T1,1.190512753,1.211239958,0.881218386,0.620285749,0.725720644
T2.1,6.044187832,6.289539337,6.256356859,6.130970907,4.490138388
T2.2,2.973437119,3.079451847,3.051428032,3.012441683,2.185288429
T2.3,1.48527813,1.541099215,1.522328854,1.504460669,1.091340113
T2.4,9.855217075,10.3170558,10.19486804,10.07423463,7.317996931
T3,0.129573965,0.076997471,0.081557989,0.079677963,0.105574179
T4.1,4.993607998,5.052474976,5.085786343,5.019349432,3.710219097
T4.2,5.005576468,5.022197294,5.077861118,5.01587038,3.716433668
T4.3,5.033345413,5.062911034,5.078165722,5.015738201,3.713638735
T4.4,5.002775335,5.038384056,5.069690657,5.015927219,3.722743082
T5,36.53539867,37.49252443,18.24352398,9.35043354,21.00990615
